Date,Roll No,Department,Programme,Entry Time,Exit Time
2026-01-28,EEP22035,Electrical Engineering,Ph.D. in Electrical Engineering,01:01,03:00
2024-09-07,PHM20115,Physics,M. Sc. in Physics,19:04,20:48
2026-01-05,EDB20226,Education,B. Ed.,19:46,00:44
2024-06-13,BAM21258,Business Administration,Master of Business Administration,21:26,03:00
2026-02-13,DEM22034,Design,Master of Design,13:46,20:35
2025-01-15,PHB20269,Physics,Integrated B.Sc.B.Ed. (Physics Major),21:57,02:28
2025-02-19,MCM24029,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,00:58,03:00
2025-08-12,FLB21260,Linguistics and Language Technology,BA in Chinese,15:39,17:08
2024-11-18,COP24039,Commerce,Ph.D. in Commerce,00:06,03:00
2025-04-08,EDM22210,Education,M. A. in Education,22:03,23:42
2025-11-19,CHM24270,Chemical Sciences,M. Sc. in Chemistry,01:32,03:00
2026-02-21,CHI20141,Chemical Sciences,Integrated M.Sc. in Chemistry,13:34,21:14
2025-12-08,CEP21078,Civil Engineering,Ph.D. in Civil Engineering,17:23,00:26
2026-01-04,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,11:48,12:59
2026-03-21,SOP25159,Sociology,Ph.D. in Sociology,21:52,03:00
2024-10-14,EEP22174,Electrical Engineering,Ph.D. in Electrical Engineering,20:29,23:37
2024-08-30,BAP21032,Business Administration,Ph.D. in Business Administration,14:31,15:03
2025-03-07,EGL22151,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,20:57,00:57
2026-03-09,CEB21266,Civil Engineering,B. Tech. in Civil Engineering,18:43,21:57
2026-04-30,MCP20107,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,16:22,00:05
2025-01-06,CHP22257,Chemical Sciences,Ph.D. in Chemical Sciences,10:46,16:17
2025-10-12,ECB25001,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,01:00,03:00
2024-06-21,ENP20281,Energy,Ph.D. in Energy,14:57,22:20
2026-03-16,PHB20074,Physics,Integrated B.Sc.B.Ed. (Physics Major),17:19,22:45
2026-01-19,WSP25220,Women Study,Ph.D. in Women Study,22:57,01:43
2025-03-12,PHI24246,Physics,Integrated M. Sc. in Physics,09:19,15:03
2024-12-02,COM23190,Commerce,M.Com,10:00,16:15
2026-02-24,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,21:34,02:48
2024-07-13,PHI23019,Physics,Integrated M. Sc. in Physics,02:00,03:00
2024-07-22,ASM23199,Assamese,M.A. in Assamese,11:43,15:08
2026-02-04,EGL24013,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,20:42,22:09
2024-11-20,MEP24125,Mechanical Engineering,Ph.D. in Mechanical Engineering,01:40,03:00
2026-02-03,HIP20280,Hindi,Ph.D. in Hindi,01:07,03:00
2025-12-02,ESE20233,Environmental Sciences,M. Sc. in Environmental Science,20:56,03:00
2026-04-06,EGE25271,English,M. A. in English,19:13,01:15
2024-05-11,PHI21225,Physics,Integrated M. Sc. in Physics,00:01,03:00
2025-03-03,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,11:29,17:13
2026-02-27,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,13:48,20:12
2025-01-22,ECB24054,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,21:28,03:00
2025-02-09,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,01:52,03:00
2026-01-08,BAP20241,Business Administration,Ph.D. in Business Administration,20:58,03:00
2024-10-25,HIM21244,Hindi,M. A. in Hindi,23:54,01:53
2025-02-18,MCP24253,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,22:35,00:58
2024-09-11,CEB24155,Civil Engineering,B. Tech. in Civil Engineering,17:45,21:22
2025-06-05,CEB24155,Civil Engineering,B. Tech. in Civil Engineering,09:00,10:19
2025-09-17,CEM23041,Civil Engineering,M. Tech. in Civil Engineering,02:17,03:00
2025-02-10,CHI24044,Chemical Sciences,Integrated M.Sc. in Chemistry,21:19,02:26
2025-12-10,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,10:50,14:44
2024-05-19,ASM20130,Assamese,M.A. in Assamese,16:31,18:26
2024-10-31,BAT21215,Business Administration,Master of Tourism & Travel Management,01:11,03:00
2025-07-01,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,11:55,17:09
2024-06-26,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,20:38,02:59
2025-12-16,SOP25159,Sociology,Ph.D. in Sociology,16:02,19:08
2024-07-23,ASP22299,Assamese,Ph.D. in Assamese,18:43,20:31
2025-11-02,MBI25058,Molecular Biology & Biotechnology,Integrated M.Sc. Life Science,15:51,17:21
2025-08-05,MBP25192,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,17:41,21:55
2024-05-15,EEP23188,Electrical Engineering,Ph.D. in Electrical Engineering,10:16,13:30
2025-08-11,WSP22222,Women Study,Ph.D. in Women Study,17:11,20:50
2025-07-14,ECP21111,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,09:17,11:08
2025-06-01,BAM21097,Business Administration,Master of Business Administration,21:04,01:59
2024-05-23,MEP22142,Mechanical Engineering,Ph.D. in Mechanical Engineering,19:51,22:59
2025-08-22,BAM21258,Business Administration,Master of Business Administration,18:25,19:33
2025-09-30,HIP20165,Hindi,Ph.D. in Hindi,19:34,20:29
2025-11-03,HIM20177,Hindi,M. A. in Hindi,22:40,03:00
2026-01-13,EDT20294,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,09:42,12:05
2026-05-01,ESE23157,Environmental Sciences,M. Sc. in Environmental Science,10:16,12:49
2026-01-31,DEM21057,Design,Master of Design,20:45,21:21
2025-08-20,CSB22064,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,16:12,19:05
2026-03-02,CTM25173,Cultural Studies,M.A. in Cultural Studies,13:04,16:17
2025-07-22,FEB23227,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,18:17,20:24
2025-10-30,COM25133,Commerce,M.Com,19:42,00:22
2024-09-19,BAM22077,Business Administration,Master of Business Administration,17:16,21:46
2026-03-16,EDT25262,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,21:35,02:39
2024-12-27,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,22:12,00:29
2024-11-09,CHI20141,Chemical Sciences,Integrated M.Sc. in Chemistry,01:51,03:00
2024-06-17,MBM23264,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,19:25,00:34
2024-07-12,ASP22299,Assamese,Ph.D. in Assamese,17:43,21:32
2025-10-22,EDE23249,Education,M. Ed.,09:16,15:32
2025-04-11,CTP21207,Cultural Studies,Ph.D. in Cultural Studies,16:20,16:59
2025-07-05,EEB24224,Electrical Engineering,B. Tech. in Electrical Engineering,12:47,13:58
2025-09-28,FEP25272,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,18:20,21:32
2025-01-15,BAP24091,Business Administration,Ph.D. in Business Administration,12:56,14:46
2024-12-06,APP21184,Applied Sciences,Ph.D. in Applied Sciences,17:09,18:16
2024-08-11,DEP21240,Design,Ph.D. in Design,15:30,19:18
2024-06-11,SOP22027,Sociology,Ph.D. in Sociology,00:45,03:00
2025-06-29,PHI21018,Physics,Integrated M. Sc. in Physics,11:39,17:21
2026-01-24,MCM24029,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,15:52,16:47
2025-10-26,CHI24044,Chemical Sciences,Integrated M.Sc. in Chemistry,16:51,18:51
2026-03-21,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,14:27,15:25
2025-08-10,APP25205,Applied Sciences,Ph.D. in Applied Sciences,11:53,14:22
2025-10-01,LLP23033,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,23:36,03:00
2026-04-10,HIP20280,Hindi,Ph.D. in Hindi,21:32,22:13
2025-10-04,EDT20294,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,12:06,14:53
2025-07-28,FEB20140,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,09:43,17:12
2024-12-24,WSP22222,Women Study,Ph.D. in Women Study,09:10,14:46
2025-11-24,LAP25185,Law,Ph.D. in Law,21:09,03:00
2025-08-05,EEP20135,Electrical Engineering,Ph.D. in Electrical Engineering,22:02,23:55
2025-08-28,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,21:38,00:15
2026-01-23,CHP22257,Chemical Sciences,Ph.D. in Chemical Sciences,13:12,15:13
2024-12-15,EGI20110,English,Integrated M.A. in English,01:14,02:29
2025-08-31,MEB22066,Mechanical Engineering,B. Tech. in Mechanical Engineering,14:30,18:12
2026-04-27,EGE25271,English,M. A. in English,11:01,15:25
2024-07-17,CHB20055,Chemical Sciences,Integrated B.Sc.B.Ed. (Chemistry Major),19:10,21:29
2026-01-15,LAP22136,Law,Ph.D. in Law,15:34,22:03
2025-12-12,EDT21297,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,02:05,03:00
2024-08-24,SWM24175,Social Work,M. A. in Social Work,20:11,01:25
2024-12-01,EGE23009,English,M. A. in English,12:19,18:34
2026-03-15,EDB24211,Education,B. Ed.,19:50,01:34
2024-12-07,ECS20126,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,15:18,19:56
2024-10-10,CEB21266,Civil Engineering,B. Tech. in Civil Engineering,20:11,21:44
2026-02-03,PHB20269,Physics,Integrated B.Sc.B.Ed. (Physics Major),19:15,02:26
2025-10-26,SOP24062,Sociology,Ph.D. in Sociology,13:44,21:37
2025-04-06,EDM22149,Education,M. A. in Education,12:57,14:01
2025-01-17,EEB21053,Electrical Engineering,B. Tech. in Electrical Engineering,12:29,15:57
2026-03-27,CEM25007,Civil Engineering,M. Tech. in Civil Engineering,22:02,03:00
2024-06-01,LAP20040,Law,Ph.D. in Law,15:16,16:03
2025-05-07,EGP22186,English,Ph.D. in English,11:44,13:53
2024-12-23,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,19:34,00:24
2025-02-16,PHI20154,Physics,Integrated M. Sc. in Physics,10:54,15:11
2024-08-26,ENP21038,Energy,Ph.D. in Energy,23:11,03:00
2025-11-10,ENP21038,Energy,Ph.D. in Energy,19:51,22:01
2025-04-13,DEM22034,Design,Master of Design,09:44,17:27
2024-12-16,EEP22042,Electrical Engineering,Ph.D. in Electrical Engineering,09:24,12:41
2026-01-25,BAM20295,Business Administration,MBA (Executive) – Online/Part -time,09:24,13:30
2026-02-08,ECS20126,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,19:15,21:25
2024-08-23,ASP22299,Assamese,Ph.D. in Assamese,01:19,03:00
2025-01-05,PHP23245,Physics,Ph.D. in Physics,02:21,03:00
2025-04-21,ASM23199,Assamese,M.A. in Assamese,14:38,21:28
2026-03-21,PHB21256,Physics,Integrated B.Sc.B.Ed. (Physics Major),21:25,00:37
2026-01-10,SOP24062,Sociology,Ph.D. in Sociology,01:18,03:00
2025-03-23,SWM20161,Social Work,M. A. in Social Work,01:22,03:00
2025-03-20,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,01:42,03:00
2026-03-26,EDM25292,Education,M. A. in Education,00:53,03:00
2025-12-06,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,20:08,21:13
2024-07-25,FLB23255,Linguistics and Language Technology,BA in Chinese,16:37,19:06
2025-09-19,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,16:25,17:56
2026-03-14,BAT21215,Business Administration,Master of Tourism & Travel Management,21:17,01:54
2026-03-05,CTP23109,Cultural Studies,Ph.D. in Cultural Studies,20:14,22:26
2025-08-29,CEP21078,Civil Engineering,Ph.D. in Civil Engineering,15:20,20:23
2025-12-07,PHB21256,Physics,Integrated B.Sc.B.Ed. (Physics Major),16:23,20:00
2024-09-26,SOP22027,Sociology,Ph.D. in Sociology,16:31,20:32
2025-10-01,MSM20132,Mathematical Sciences,M. Sc. in Mathematics,11:57,13:21
2024-06-19,ECP23238,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,11:28,13:10
2026-03-11,CTP23171,Cultural Studies,Ph.D. in Cultural Studies,18:21,01:15
2024-11-26,PHI21225,Physics,Integrated M. Sc. in Physics,12:00,14:58
2026-02-02,ENE24152,Energy,M. Tech in Energy Technology,16:13,21:03
2025-10-22,PHM21075,Physics,M. Sc. in Physics,23:20,03:00
2025-10-10,COM21134,Commerce,M.Com,13:06,19:44
2026-04-16,MCM24029,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,09:50,14:16
2025-02-21,MRP20089,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,20:37,22:33
2025-09-07,SWP23026,Social Work,Ph.D. in Social Work,15:46,20:29
2025-09-21,PHB20074,Physics,Integrated B.Sc.B.Ed. (Physics Major),19:02,22:58
2025-07-01,CHP21144,Chemical Sciences,Ph.D. in Chemical Sciences,15:57,19:41
2026-03-23,ECD20189,Electronics & Communication Engineering,M. Tech in Bioelectronics,11:44,12:52
2026-04-27,SOM24060,Sociology,M.A. in Sociology,11:08,19:01
2025-06-30,CHM24270,Chemical Sciences,M. Sc. in Chemistry,17:55,01:34
2025-03-29,DEM21057,Design,Master of Design,21:11,22:13
2026-01-10,FLB23255,Linguistics and Language Technology,BA in Chinese,02:10,03:00
2025-03-07,CHP24119,Chemical Sciences,Ph.D. in Chemical Sciences,12:32,18:42
2024-06-02,SWP23026,Social Work,Ph.D. in Social Work,15:13,17:25
2026-03-22,EGI22108,English,Integrated M.A. in English,12:54,20:33
2024-09-12,BAM23180,Business Administration,Master of Business Administration,18:40,23:48
2025-03-14,APP21028,Applied Sciences,Ph.D. in Applied Sciences,17:05,20:04
2025-07-12,ENE24152,Energy,M. Tech in Energy Technology,10:01,15:24
2024-09-11,EGE24099,English,M. A. in English,16:29,18:54
2024-12-04,EDP20006,Education,Ph.D. in Education,00:49,03:00
2024-07-27,APP21184,Applied Sciences,Ph.D. in Applied Sciences,12:00,19:41
2025-10-01,CTM25173,Cultural Studies,M.A. in Cultural Studies,09:07,15:35
2025-06-02,APP21028,Applied Sciences,Ph.D. in Applied Sciences,17:21,21:41
2025-09-22,ENP23158,Energy,Ph.D. in Energy,00:41,03:00
2025-09-29,MRP20089,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,17:49,21:57
2025-05-24,PHB20269,Physics,Integrated B.Sc.B.Ed. (Physics Major),21:59,03:00
2025-06-28,CSE22231,Computer Science & Engineering,M. Tech. in Data Science,12:52,13:37
2026-02-07,SWM24175,Social Work,M. A. in Social Work,01:00,02:15
2025-08-25,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,21:52,23:40
2024-09-17,CSE22231,Computer Science & Engineering,M. Tech. in Data Science,13:39,20:03
2025-05-08,PHI24246,Physics,Integrated M. Sc. in Physics,15:31,23:20
2024-08-25,ECB22086,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,23:18,02:31
2025-02-20,CSE22231,Computer Science & Engineering,M. Tech. in Data Science,01:25,03:00
2024-10-08,DEM24129,Design,Master of Design,16:32,20:30
2026-02-08,MEB25036,Mechanical Engineering,B. Tech. in Mechanical Engineering,12:38,14:53
2026-04-02,MSP25004,Mathematical Sciences,Ph.D. in Mathematical Sciences,20:44,22:54
2026-04-05,MSB22162,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),00:41,03:00
2025-12-05,ENP20281,Energy,Ph.D. in Energy,11:09,12:05
2024-12-01,ASM23199,Assamese,M.A. in Assamese,10:50,18:41
2025-07-07,FET23003,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,02:01,03:00
2025-05-22,BAT22148,Business Administration,Master of Tourism & Travel Management,09:41,10:39
2026-01-10,MCP22112,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,15:09,17:27
2024-10-07,CHI23232,Chemical Sciences,Integrated M.Sc. in Chemistry,21:54,01:05
2024-08-20,MCM24137,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,18:27,21:14
2024-08-11,MEB24230,Mechanical Engineering,B. Tech. in Mechanical Engineering,17:19,17:54
2025-05-20,MEP23212,Mechanical Engineering,Ph.D. in Mechanical Engineering,20:10,22:33
2024-09-04,EDM20101,Education,M. A. in Education,19:38,20:38
2024-12-27,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,11:19,17:56
2024-10-19,CEB24155,Civil Engineering,B. Tech. in Civil Engineering,14:19,18:50
2026-03-16,EEB21053,Electrical Engineering,B. Tech. in Electrical Engineering,00:39,03:00
2026-03-23,LLP25002,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,22:42,01:29
2025-11-06,EDT25169,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,01:27,03:00
2026-03-15,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,00:44,03:00
2025-08-11,BAP21032,Business Administration,Ph.D. in Business Administration,00:36,01:56
2026-04-13,EGE22235,English,M. A. in English,13:09,20:15
2025-04-27,FLB21260,Linguistics and Language Technology,BA in Chinese,13:07,19:11
2025-08-01,BAM21097,Business Administration,Master of Business Administration,12:26,13:32
2025-08-06,PHI25043,Physics,Integrated M. Sc. in Physics,20:18,23:14
2024-05-11,EDM22149,Education,M. A. in Education,23:40,00:35
2025-12-29,MEP24125,Mechanical Engineering,Ph.D. in Mechanical Engineering,14:48,18:50
2024-12-03,MSB21082,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),19:56,02:02
2025-09-14,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,14:18,19:26
2026-04-14,MEP25024,Mechanical Engineering,Ph.D. in Mechanical Engineering,13:12,16:18
2026-02-28,PHI21018,Physics,Integrated M. Sc. in Physics,12:40,16:35
2026-03-27,CTM22153,Cultural Studies,M.A. in Cultural Studies,02:08,03:00
2025-08-27,CEM25182,Civil Engineering,M. Tech. in Civil Engineering,09:14,13:38
2026-03-14,BAM22052,Business Administration,Certificate in NSE Academy Certified Capital Market,15:45,18:43
2024-09-14,WSP22222,Women Study,Ph.D. in Women Study,01:08,03:00
2025-03-03,BAM21097,Business Administration,Master of Business Administration,01:39,03:00
2026-02-08,CEM25007,Civil Engineering,M. Tech. in Civil Engineering,22:49,03:00
2026-04-08,EEP22042,Electrical Engineering,Ph.D. in Electrical Engineering,16:49,21:44
2026-03-31,EGL24013,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,00:59,01:55
2026-04-03,PHI25043,Physics,Integrated M. Sc. in Physics,16:33,20:03
2025-02-05,DEM22034,Design,Master of Design,23:36,03:00
2024-10-21,MCM24137,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,15:24,18:30
2024-10-12,FET24278,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,14:48,22:35
2026-04-14,HIM20022,Hindi,M. A. in Hindi,13:51,16:15
2024-10-21,SWM20161,Social Work,M. A. in Social Work,20:10,23:37
2024-12-20,BAM23180,Business Administration,Master of Business Administration,13:25,18:13
2024-09-20,COP21145,Commerce,Ph.D. in Commerce,12:30,15:13
2025-01-31,MSM20132,Mathematical Sciences,M. Sc. in Mathematics,10:16,11:17
2025-11-09,EDT25237,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,14:09,19:43
2025-09-01,EGP20243,English,Ph.D. in English,10:00,13:20
2025-10-07,MEB22068,Mechanical Engineering,B. Tech. in Mechanical Engineering,17:34,21:32
2025-09-20,FEP25116,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,10:03,12:12
2025-10-07,EGI20110,English,Integrated M.A. in English,01:47,03:00
2025-10-20,MRP25163,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,16:40,19:41
2026-04-21,CHP21144,Chemical Sciences,Ph.D. in Chemical Sciences,15:12,22:17
2025-04-29,EDT20294,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,14:26,15:44
2025-12-15,LAP25185,Law,Ph.D. in Law,15:44,23:03
2025-03-07,MRP24117,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,20:31,01:02
2025-09-23,CSP22124,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,14:30,19:03
2024-10-07,CHI24044,Chemical Sciences,Integrated M.Sc. in Chemistry,11:51,15:35
2025-04-14,COP24039,Commerce,Ph.D. in Commerce,10:27,16:37
2024-05-28,EEB21053,Electrical Engineering,B. Tech. in Electrical Engineering,14:56,19:37
2024-07-08,SWM20161,Social Work,M. A. in Social Work,16:01,23:30
2026-04-29,ENE24069,Energy,M. Tech in Energy Technology,21:17,02:00
2025-08-26,FLB20221,Linguistics and Language Technology,BA in Chinese,01:14,03:00
2025-09-16,ENP21038,Energy,Ph.D. in Energy,19:37,21:50
2025-07-13,SWM24175,Social Work,M. A. in Social Work,23:11,03:00
2025-02-10,CEP21078,Civil Engineering,Ph.D. in Civil Engineering,18:21,21:24
2025-01-02,FLB23228,Linguistics and Language Technology,BA in Chinese,23:16,00:50
2024-08-03,BAT21166,Business Administration,Master of Tourism & Travel Management,19:08,01:31
2025-10-28,COP21145,Commerce,Ph.D. in Commerce,18:27,01:41
2026-01-09,FLB20221,Linguistics and Language Technology,BA in Chinese,11:33,19:32
2025-08-04,EDM25292,Education,M. A. in Education,19:14,22:14
2025-03-11,MEM22252,Mechanical Engineering,M. Tech in Mechanical Engineering,12:12,13:49
2024-11-27,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,22:56,02:11
2025-12-02,MEB25036,Mechanical Engineering,B. Tech. in Mechanical Engineering,10:11,17:16
2024-10-07,EDM22210,Education,M. A. in Education,18:05,22:14
2026-03-16,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,14:48,21:46
2025-11-05,EDT25169,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,01:10,03:00
2025-03-12,EGI21283,English,Integrated M.A. in English,01:15,01:59
2025-09-15,ESP25214,Environmental Sciences,Ph.D. in Environmental Sciences,09:24,12:48
2026-01-21,ASM23284,Assamese,M.A. in Assamese,15:55,17:37
2025-10-02,BAP20241,Business Administration,Ph.D. in Business Administration,10:51,13:45
2025-08-06,LAP20040,Law,Ph.D. in Law,20:01,23:50
2024-09-14,FEB20005,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,21:05,00:29
2026-04-04,EDM23216,Education,M. A. in Education,13:48,14:49
2025-10-10,MCM23048,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,09:12,12:50
2026-03-11,CSB21015,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,22:58,03:00
2025-07-25,SOM24143,Sociology,M.A. in Sociology,18:30,23:10
2026-04-12,PHI20154,Physics,Integrated M. Sc. in Physics,10:16,14:29
2025-08-07,EGL22151,Linguistics and Language Technology,M. A. in Linguistics & Languages Technology,22:08,23:06
2026-01-25,PHI24246,Physics,Integrated M. Sc. in Physics,16:58,20:46
2025-01-14,SOM24143,Sociology,M.A. in Sociology,01:48,03:00
2025-02-26,CSP23020,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,00:26,03:00
2024-09-27,LAP22204,Law,Ph.D. in Law,20:24,22:51
2024-12-30,MCM23223,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,15:03,20:39
2024-07-29,DEM21017,Design,Master of Design,15:10,17:09
2026-02-01,BAM21097,Business Administration,Master of Business Administration,09:41,17:29
2025-05-25,ASM23284,Assamese,M.A. in Assamese,01:33,03:00
2025-11-20,EGI20110,English,Integrated M.A. in English,18:09,00:10
2025-10-12,BAP21032,Business Administration,Ph.D. in Business Administration,14:23,19:10
2025-03-08,SOM24143,Sociology,M.A. in Sociology,21:51,02:09
2025-06-19,ASP24139,Assamese,Ph.D. in Assamese,00:07,03:00
2025-03-05,PHI21225,Physics,Integrated M. Sc. in Physics,23:15,03:00
2025-07-15,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,00:31,03:00
2025-05-06,CHM24270,Chemical Sciences,M. Sc. in Chemistry,17:38,20:08
2025-01-03,COP24206,Commerce,Ph.D. in Commerce,00:54,03:00
2026-03-10,EGP22186,English,Ph.D. in English,14:48,19:06
2026-03-14,FEP25127,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,14:59,19:55
2024-07-28,MCP21098,Mass Communication & Journalism,Ph.D. in Mass Communication & Journalism,22:51,00:12
2025-08-18,CHM23087,Chemical Sciences,M. Sc. in Chemistry,17:33,21:26
2025-05-21,HIP20165,Hindi,Ph.D. in Hindi,21:12,22:29
2025-09-03,PHP23245,Physics,Ph.D. in Physics,09:58,15:00
2025-08-31,PHP23083,Physics,Ph.D. in Physics,11:24,12:28
2026-01-03,ESP22011,Environmental Sciences,Ph.D. in Environmental Sciences,01:46,03:00
2025-04-03,CTP23109,Cultural Studies,Ph.D. in Cultural Studies,23:08,01:16
2025-03-12,CTP24102,Cultural Studies,Ph.D. in Cultural Studies,09:23,14:46
2026-02-20,ENE24069,Energy,M. Tech in Energy Technology,15:01,22:15
2025-07-16,EGE23009,English,M. A. in English,11:05,12:09
2024-10-29,SOM24060,Sociology,M.A. in Sociology,17:47,23:10
2025-08-30,MEB25036,Mechanical Engineering,B. Tech. in Mechanical Engineering,15:59,20:10
2025-08-08,MBP25192,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,21:17,02:46
2024-05-03,SOP22027,Sociology,Ph.D. in Sociology,21:04,23:08
2025-09-30,DEP21240,Design,Ph.D. in Design,02:10,03:00
2024-08-22,ENE24152,Energy,M. Tech in Energy Technology,19:49,01:53
2024-09-03,CEB24155,Civil Engineering,B. Tech. in Civil Engineering,18:33,23:48
2024-08-20,CHM20010,Chemical Sciences,M. Sc. in Chemistry,12:24,15:58
2025-12-09,MSM25267,Mathematical Sciences,M. Sc. in Mathematics,11:16,19:14
2024-06-25,EDE23249,Education,M. Ed.,18:25,23:11
2024-11-08,MEP22142,Mechanical Engineering,Ph.D. in Mechanical Engineering,21:46,03:00
2025-01-20,CTP24102,Cultural Studies,Ph.D. in Cultural Studies,09:57,13:05
2025-08-23,MSB22081,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),01:31,03:00
2025-11-23,FET24278,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,19:29,02:43
2025-05-16,ENE24069,Energy,M. Tech in Energy Technology,16:17,23:17
2024-10-14,DEM21057,Design,Master of Design,15:03,18:06
2025-05-28,DEP20046,Design,Ph.D. in Design,02:03,03:00
2025-03-22,LAP22204,Law,Ph.D. in Law,23:15,03:00
2024-06-24,CSM21168,Computer Science & Engineering,Master of Computer Application  (MCA),15:43,21:04
2024-11-22,MEB22068,Mechanical Engineering,B. Tech. in Mechanical Engineering,11:43,19:02
2025-12-16,MEM25276,Mechanical Engineering,M. Tech in Mechanical Engineering,23:54,02:39
2026-03-22,EGI22108,English,Integrated M.A. in English,19:01,20:27
2025-02-06,FET24278,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,16:22,22:10
2024-06-08,EDP20006,Education,Ph.D. in Education,17:16,20:28
2025-10-15,ASM23199,Assamese,M.A. in Assamese,17:19,23:43
2025-07-04,BAM23213,Business Administration,Certificate in NSE Academy Certified Capital Market,22:10,01:58
2024-11-14,DEM24129,Design,Master of Design,10:19,11:18
2024-05-07,EDP20006,Education,Ph.D. in Education,09:10,13:10
2025-06-19,CEB21266,Civil Engineering,B. Tech. in Civil Engineering,01:32,03:00
2025-09-23,PHP23245,Physics,Ph.D. in Physics,13:05,20:59
2025-10-26,MSM25267,Mathematical Sciences,M. Sc. in Mathematics,00:27,01:04
2024-09-03,CHM23087,Chemical Sciences,M. Sc. in Chemistry,19:15,01:09
