Date,Roll No,Department,Programme,Entry Time,Exit Time,Study_Duration_Hours,Entry_Hour
2024-12-08,BAM23180,Business Administration,Master of Business Administration,2026-05-06 22:35:00,2026-05-06 02:29:00,-20.1,22
2026-01-08,FET25012,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 21:22:00,2026-05-06 22:54:00,1.5333333333333334,21
2026-01-16,FLB23255,Linguistics and Language Technology,BA in Chinese,2026-05-06 18:32:00,2026-05-06 01:01:00,-17.516666666666666,18
2025-11-05,ECD20191,Electronics & Communication Engineering,M. Tech in Bioelectronics,2026-05-06 22:09:00,2026-05-06 03:00:00,-19.15,22
2026-04-05,EGE25203,English,M. A. in English,2026-05-06 23:49:00,2026-05-06 03:00:00,-20.816666666666666,23
2025-04-22,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 02:01:00,2026-05-06 03:00:00,0.9833333333333333,2
2026-04-16,SWP25079,Social Work,Ph.D. in Social Work,2026-05-06 11:23:00,2026-05-06 12:51:00,1.4666666666666666,11
2024-05-20,CHP22257,Chemical Sciences,Ph.D. in Chemical Sciences,2026-05-06 13:38:00,2026-05-06 17:19:00,3.683333333333333,13
2025-08-25,SOP25159,Sociology,Ph.D. in Sociology,2026-05-06 19:53:00,2026-05-06 20:28:00,0.5833333333333334,19
2024-09-18,EGE22235,English,M. A. in English,2026-05-06 09:45:00,2026-05-06 16:25:00,6.666666666666667,9
2025-05-31,LLP24150,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 16:37:00,2026-05-06 17:56:00,1.3166666666666667,16
2026-01-17,MSB25063,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),2026-05-06 19:30:00,2026-05-06 01:48:00,-17.7,19
2024-11-27,EDT20294,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 00:03:00,2026-05-06 03:00:00,2.95,0
2025-02-17,SOM21094,Sociology,M.A. in Sociology,2026-05-06 09:00:00,2026-05-06 10:29:00,1.4833333333333334,9
2025-01-13,MCM23048,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,2026-05-06 18:43:00,2026-05-06 01:15:00,-17.466666666666665,18
2025-10-22,EDM23216,Education,M. A. in Education,2026-05-06 22:36:00,2026-05-06 00:43:00,-21.883333333333333,22
2024-06-25,PHB22131,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 16:13:00,2026-05-06 16:53:00,0.6666666666666666,16
2025-11-17,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 22:47:00,2026-05-06 03:00:00,-19.783333333333335,22
2025-08-15,WSP23067,Women Study,Ph.D. in Women Study,2026-05-06 13:54:00,2026-05-06 21:40:00,7.766666666666667,13
2026-02-22,WSP22222,Women Study,Ph.D. in Women Study,2026-05-06 20:05:00,2026-05-06 23:19:00,3.2333333333333334,20
2026-01-19,MSP25004,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 13:51:00,2026-05-06 16:39:00,2.8,13
2024-10-08,EEP22174,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 13:04:00,2026-05-06 19:06:00,6.033333333333333,13
2025-01-05,LAP20040,Law,Ph.D. in Law,2026-05-06 16:54:00,2026-05-06 22:55:00,6.016666666666667,16
2024-08-27,MEP21050,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 15:10:00,2026-05-06 16:44:00,1.5666666666666667,15
2024-09-02,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 20:44:00,2026-05-06 21:16:00,0.5333333333333333,20
2025-12-15,CSE25092,Computer Science & Engineering,M. Tech. in Data Science,2026-05-06 17:19:00,2026-05-06 18:17:00,0.9666666666666667,17
2025-11-17,ENP21038,Energy,Ph.D. in Energy,2026-05-06 11:12:00,2026-05-06 17:16:00,6.066666666666666,11
2025-04-04,PHP21201,Physics,Ph.D. in Physics,2026-05-06 18:07:00,2026-05-06 18:43:00,0.6,18
2025-10-22,MEP25024,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 00:08:00,2026-05-06 03:00:00,2.8666666666666667,0
2025-03-29,EGI20110,English,Integrated M.A. in English,2026-05-06 13:40:00,2026-05-06 18:14:00,4.566666666666666,13
2024-10-01,EDM22210,Education,M. A. in Education,2026-05-06 14:07:00,2026-05-06 18:59:00,4.866666666666666,14
2025-06-23,EDM22210,Education,M. A. in Education,2026-05-06 12:25:00,2026-05-06 18:13:00,5.8,12
2024-07-17,COM21134,Commerce,M.Com,2026-05-06 13:23:00,2026-05-06 15:47:00,2.4,13
2024-07-09,DEP21240,Design,Ph.D. in Design,2026-05-06 01:02:00,2026-05-06 01:47:00,0.75,1
2025-11-24,SWM20030,Social Work,M. A. in Social Work,2026-05-06 19:46:00,2026-05-06 20:50:00,1.0666666666666667,19
2026-02-16,DEM21057,Design,Master of Design,2026-05-06 17:44:00,2026-05-06 00:08:00,-17.6,17
2025-09-16,CSP25197,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,2026-05-06 22:01:00,2026-05-06 03:00:00,-19.016666666666666,22
2025-07-02,EEB23065,Electrical Engineering,B. Tech. in Electrical Engineering,2026-05-06 19:05:00,2026-05-06 02:35:00,-16.5,19
2024-06-07,BAM23104,Business Administration,MBA (Executive) – Online/Part -time,2026-05-06 09:24:00,2026-05-06 12:30:00,3.1,9
2026-02-18,ECS20126,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 18:13:00,2026-05-06 01:39:00,-16.566666666666666,18
2025-12-15,DEP21240,Design,Ph.D. in Design,2026-05-06 19:25:00,2026-05-06 01:45:00,-17.666666666666668,19
2026-01-06,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 17:25:00,2026-05-06 18:20:00,0.9166666666666666,17
2025-12-19,LLP23033,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 16:21:00,2026-05-06 19:22:00,3.0166666666666666,16
2026-02-23,CEM24183,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 23:52:00,2026-05-06 01:19:00,-22.55,23
2026-01-06,MSP20073,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 16:53:00,2026-05-06 22:42:00,5.816666666666666,16
2025-02-15,ECP23238,Electronics & Communication Engineering,Ph.D. in Electronics & Communication Engineering,2026-05-06 09:30:00,2026-05-06 12:34:00,3.066666666666667,9
2025-07-20,EEP21016,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 10:19:00,2026-05-06 16:58:00,6.65,10
2025-06-25,ENE24152,Energy,M. Tech in Energy Technology,2026-05-06 09:42:00,2026-05-06 16:13:00,6.516666666666667,9
2025-09-10,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 14:23:00,2026-05-06 21:07:00,6.733333333333333,14
2025-11-13,PHP23245,Physics,Ph.D. in Physics,2026-05-06 01:16:00,2026-05-06 03:00:00,1.7333333333333334,1
2024-06-13,ECS23288,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 18:17:00,2026-05-06 23:14:00,4.95,18
2025-10-17,MEB24123,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 12:21:00,2026-05-06 13:58:00,1.6166666666666667,12
2024-10-04,WSP23067,Women Study,Ph.D. in Women Study,2026-05-06 09:49:00,2026-05-06 17:31:00,7.7,9
2024-06-18,CEB21266,Civil Engineering,B. Tech. in Civil Engineering,2026-05-06 13:00:00,2026-05-06 20:06:00,7.1,13
2026-01-15,MEB25072,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 11:30:00,2026-05-06 14:33:00,3.05,11
2026-03-05,EDM25292,Education,M. A. in Education,2026-05-06 02:24:00,2026-05-06 03:00:00,0.6,2
2025-04-19,CHP20106,Chemical Sciences,Ph.D. in Chemical Sciences,2026-05-06 09:42:00,2026-05-06 14:07:00,4.416666666666667,9
2026-02-09,BAM20070,Business Administration,MBA (Executive) – Online/Part -time,2026-05-06 02:29:00,2026-05-06 03:00:00,0.5166666666666667,2
2025-09-18,FEB22146,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,2026-05-06 17:54:00,2026-05-06 00:32:00,-17.366666666666667,17
2025-01-19,CEB24155,Civil Engineering,B. Tech. in Civil Engineering,2026-05-06 15:06:00,2026-05-06 21:27:00,6.35,15
2024-11-15,DEP20046,Design,Ph.D. in Design,2026-05-06 19:49:00,2026-05-06 03:00:00,-16.816666666666666,19
2024-08-27,LLP21208,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 10:39:00,2026-05-06 13:32:00,2.8833333333333333,10
2025-02-15,SOM24143,Sociology,M.A. in Sociology,2026-05-06 09:25:00,2026-05-06 10:10:00,0.75,9
2025-03-14,COM23254,Commerce,M.Com,2026-05-06 10:42:00,2026-05-06 16:34:00,5.866666666666666,10
2026-01-08,PHM21196,Physics,M. Sc. in Physics,2026-05-06 17:04:00,2026-05-06 18:46:00,1.7,17
2024-06-11,WSP20286,Women Study,Ph.D. in Women Study,2026-05-06 22:23:00,2026-05-06 03:00:00,-19.383333333333333,22
2024-11-18,DEM24129,Design,Master of Design,2026-05-06 12:01:00,2026-05-06 15:20:00,3.316666666666667,12
2026-04-24,APP25205,Applied Sciences,Ph.D. in Applied Sciences,2026-05-06 02:06:00,2026-05-06 03:00:00,0.9,2
2025-04-03,CTM22153,Cultural Studies,M.A. in Cultural Studies,2026-05-06 19:32:00,2026-05-06 22:43:00,3.183333333333333,19
2025-06-09,EEB21053,Electrical Engineering,B. Tech. in Electrical Engineering,2026-05-06 09:06:00,2026-05-06 15:46:00,6.666666666666667,9
2025-06-18,BAT22148,Business Administration,Master of Tourism & Travel Management,2026-05-06 20:32:00,2026-05-06 23:02:00,2.5,20
2025-05-27,CTP24263,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 23:52:00,2026-05-06 03:00:00,-20.866666666666667,23
2025-06-21,PHP23245,Physics,Ph.D. in Physics,2026-05-06 22:34:00,2026-05-06 01:18:00,-21.266666666666666,22
2026-04-07,HIP24167,Hindi,Ph.D. in Hindi,2026-05-06 13:58:00,2026-05-06 18:37:00,4.65,13
2024-12-21,FLB23255,Linguistics and Language Technology,BA in Chinese,2026-05-06 15:36:00,2026-05-06 23:25:00,7.816666666666666,15
2024-08-03,SOP24062,Sociology,Ph.D. in Sociology,2026-05-06 16:45:00,2026-05-06 00:29:00,-16.266666666666666,16
2024-09-16,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 13:48:00,2026-05-06 16:11:00,2.3833333333333333,13
2025-03-15,PHP23122,Physics,Ph.D. in Physics,2026-05-06 15:13:00,2026-05-06 17:58:00,2.75,15
2024-06-07,EDT21297,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 11:20:00,2026-05-06 14:49:00,3.4833333333333334,11
2026-04-21,COP21145,Commerce,Ph.D. in Commerce,2026-05-06 23:07:00,2026-05-06 00:48:00,-22.316666666666666,23
2025-11-02,MEP23212,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 22:22:00,2026-05-06 03:00:00,-19.366666666666667,22
2025-07-02,PHI24246,Physics,Integrated M. Sc. in Physics,2026-05-06 02:04:00,2026-05-06 03:00:00,0.9333333333333333,2
2025-12-16,SWM20030,Social Work,M. A. in Social Work,2026-05-06 15:09:00,2026-05-06 20:19:00,5.166666666666667,15
2025-09-23,SOP22027,Sociology,Ph.D. in Sociology,2026-05-06 18:14:00,2026-05-06 18:56:00,0.7,18
2026-01-06,MEB22068,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 01:15:00,2026-05-06 03:00:00,1.75,1
2025-03-14,CHP21144,Chemical Sciences,Ph.D. in Chemical Sciences,2026-05-06 23:12:00,2026-05-06 00:32:00,-22.666666666666668,23
2026-02-17,MBP20219,Molecular Biology & Biotechnology,Ph.D. in Molecular Biology & Biotechnology,2026-05-06 11:02:00,2026-05-06 14:32:00,3.5,11
2025-09-18,EDM20259,Education,M. A. in Education,2026-05-06 10:18:00,2026-05-06 11:22:00,1.0666666666666667,10
2025-10-25,EDE25291,Education,M. Ed.,2026-05-06 12:58:00,2026-05-06 13:59:00,1.0166666666666666,12
2024-11-29,SOM21094,Sociology,M.A. in Sociology,2026-05-06 13:45:00,2026-05-06 15:25:00,1.6666666666666667,13
2025-09-19,EGI21283,English,Integrated M.A. in English,2026-05-06 16:16:00,2026-05-06 21:43:00,5.45,16
2025-09-20,MEP23212,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 12:49:00,2026-05-06 19:15:00,6.433333333333334,12
2025-08-04,CHM21095,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 22:50:00,2026-05-06 00:50:00,-22.0,22
2025-08-16,ENP20281,Energy,Ph.D. in Energy,2026-05-06 19:08:00,2026-05-06 02:42:00,-16.433333333333334,19
2026-04-24,APP21184,Applied Sciences,Ph.D. in Applied Sciences,2026-05-06 22:31:00,2026-05-06 03:00:00,-19.516666666666666,22
2024-07-12,SWM20161,Social Work,M. A. in Social Work,2026-05-06 00:51:00,2026-05-06 03:00:00,2.15,0
2025-05-10,HIM20093,Hindi,M. A. in Hindi,2026-05-06 23:13:00,2026-05-06 00:54:00,-22.316666666666666,23
2024-10-16,HIM22084,Hindi,M. A. in Hindi,2026-05-06 01:16:00,2026-05-06 01:52:00,0.6,1
2025-08-23,PHP21201,Physics,Ph.D. in Physics,2026-05-06 16:22:00,2026-05-06 22:49:00,6.45,16
2024-08-01,BAM21258,Business Administration,Master of Business Administration,2026-05-06 17:04:00,2026-05-06 22:16:00,5.2,17
2025-05-17,PHM20115,Physics,M. Sc. in Physics,2026-05-06 23:24:00,2026-05-06 02:23:00,-21.016666666666666,23
2025-04-18,MBM23264,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,2026-05-06 18:41:00,2026-05-06 00:48:00,-17.883333333333333,18
2024-11-17,LLP24150,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 10:58:00,2026-05-06 14:59:00,4.016666666666667,10
2026-02-25,MEB25072,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 18:45:00,2026-05-06 02:27:00,-16.3,18
2026-01-26,CHM23229,Chemical Sciences,M. Sc. in Chemistry,2026-05-06 18:29:00,2026-05-06 01:26:00,-17.05,18
2026-03-30,MEP22142,Mechanical Engineering,Ph.D. in Mechanical Engineering,2026-05-06 01:54:00,2026-05-06 03:00:00,1.1,1
2024-12-12,MSI20156,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 21:21:00,2026-05-06 03:00:00,-18.35,21
2026-03-12,COM23190,Commerce,M.Com,2026-05-06 11:01:00,2026-05-06 12:33:00,1.5333333333333334,11
2024-08-23,SOP22027,Sociology,Ph.D. in Sociology,2026-05-06 23:35:00,2026-05-06 01:58:00,-21.616666666666667,23
2024-10-24,FLB20221,Linguistics and Language Technology,BA in Chinese,2026-05-06 18:37:00,2026-05-06 00:01:00,-18.6,18
2024-12-05,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 12:39:00,2026-05-06 15:20:00,2.683333333333333,12
2026-03-27,ECB25001,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 15:24:00,2026-05-06 19:59:00,4.583333333333333,15
2024-07-07,EEP22071,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 15:57:00,2026-05-06 17:22:00,1.4166666666666667,15
2024-12-21,ASM23284,Assamese,M.A. in Assamese,2026-05-06 00:28:00,2026-05-06 01:29:00,1.0166666666666666,0
2026-03-13,ECB25001,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 11:07:00,2026-05-06 14:42:00,3.5833333333333335,11
2025-01-01,PHM21196,Physics,M. Sc. in Physics,2026-05-06 17:14:00,2026-05-06 19:36:00,2.3666666666666667,17
2025-03-25,EGP22186,English,Ph.D. in English,2026-05-06 09:32:00,2026-05-06 17:03:00,7.516666666666667,9
2026-03-19,EDT25262,Electronics & Communication Engineering,M. Tech. in Electronics Design & Technology,2026-05-06 19:38:00,2026-05-06 20:22:00,0.7333333333333333,19
2024-11-13,MEB24230,Mechanical Engineering,B. Tech. in Mechanical Engineering,2026-05-06 16:07:00,2026-05-06 22:02:00,5.916666666666667,16
2025-10-02,PHB22131,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 09:17:00,2026-05-06 11:07:00,1.8333333333333333,9
2025-10-12,SWP23026,Social Work,Ph.D. in Social Work,2026-05-06 17:28:00,2026-05-06 00:18:00,-17.166666666666668,17
2025-09-12,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 00:01:00,2026-05-06 01:16:00,1.25,0
2025-06-18,ENP20037,Energy,Ph.D. in Energy,2026-05-06 15:18:00,2026-05-06 20:55:00,5.616666666666666,15
2024-12-13,PHM20115,Physics,M. Sc. in Physics,2026-05-06 09:17:00,2026-05-06 16:42:00,7.416666666666667,9
2025-10-25,BAM25080,Business Administration,Certificate in NSE Academy Certified Capital Market,2026-05-06 00:59:00,2026-05-06 02:37:00,1.6333333333333333,0
2025-02-20,MSP22179,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 19:23:00,2026-05-06 21:50:00,2.45,19
2024-09-15,PHP21201,Physics,Ph.D. in Physics,2026-05-06 14:39:00,2026-05-06 17:19:00,2.6666666666666665,14
2025-05-13,ESE21051,Environmental Sciences,M. Sc. in Environmental Science,2026-05-06 19:02:00,2026-05-06 01:18:00,-17.733333333333334,19
2025-12-23,EDM20259,Education,M. A. in Education,2026-05-06 00:02:00,2026-05-06 01:40:00,1.6333333333333333,0
2025-02-09,PHP23083,Physics,Ph.D. in Physics,2026-05-06 15:23:00,2026-05-06 17:43:00,2.3333333333333335,15
2024-11-01,SOM24143,Sociology,M.A. in Sociology,2026-05-06 14:16:00,2026-05-06 20:56:00,6.666666666666667,14
2024-06-15,PHB22131,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 18:03:00,2026-05-06 19:41:00,1.6333333333333333,18
2025-11-17,EDE25291,Education,M. Ed.,2026-05-06 11:21:00,2026-05-06 17:44:00,6.383333333333334,11
2025-12-10,PHM20115,Physics,M. Sc. in Physics,2026-05-06 10:17:00,2026-05-06 15:23:00,5.1,10
2025-12-12,SOM24060,Sociology,M.A. in Sociology,2026-05-06 17:30:00,2026-05-06 21:18:00,3.8,17
2025-09-04,MRP20089,Multidisciplinary Research,Ph.D. in Multidisciplinary Research,2026-05-06 23:35:00,2026-05-06 03:00:00,-20.583333333333332,23
2025-06-03,EEP21016,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 20:24:00,2026-05-06 00:04:00,-20.333333333333332,20
2025-11-15,DEM21290,Design,Master of Design,2026-05-06 14:46:00,2026-05-06 16:36:00,1.8333333333333333,14
2024-08-02,CSB22064,Computer Science & Engineering,B. Tech. in Computer Science and Engineering,2026-05-06 09:17:00,2026-05-06 12:38:00,3.35,9
2024-11-08,EGP20243,English,Ph.D. in English,2026-05-06 17:50:00,2026-05-06 20:47:00,2.95,17
2025-11-11,CEM25007,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 23:53:00,2026-05-06 03:00:00,-20.883333333333333,23
2024-08-18,BAM23180,Business Administration,Master of Business Administration,2026-05-06 11:23:00,2026-05-06 13:46:00,2.3833333333333333,11
2025-05-03,PHP21201,Physics,Ph.D. in Physics,2026-05-06 22:32:00,2026-05-06 00:03:00,-22.483333333333334,22
2024-09-09,MSP20170,Mathematical Sciences,Ph.D. in Mathematical Sciences,2026-05-06 09:27:00,2026-05-06 15:42:00,6.25,9
2025-06-09,ENE24194,Energy,M. Tech in Energy Technology,2026-05-06 15:04:00,2026-05-06 18:59:00,3.9166666666666665,15
2025-11-15,ECS20085,Electronics & Communication Engineering,M. Tech. in Semiconductor Technology,2026-05-06 21:41:00,2026-05-06 22:55:00,1.2333333333333334,21
2025-12-05,FEP25272,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,2026-05-06 12:05:00,2026-05-06 18:32:00,6.45,12
2026-04-11,HIM20177,Hindi,M. A. in Hindi,2026-05-06 11:03:00,2026-05-06 18:30:00,7.45,11
2025-01-04,CEM23041,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 22:19:00,2026-05-06 03:00:00,-19.316666666666666,22
2025-02-06,BAM21258,Business Administration,Master of Business Administration,2026-05-06 14:06:00,2026-05-06 18:27:00,4.35,14
2026-01-04,SWM24175,Social Work,M. A. in Social Work,2026-05-06 00:30:00,2026-05-06 03:00:00,2.5,0
2026-02-01,COM23190,Commerce,M.Com,2026-05-06 15:23:00,2026-05-06 20:01:00,4.633333333333334,15
2024-12-18,PHB21147,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 11:22:00,2026-05-06 13:19:00,1.95,11
2025-10-22,WSP22061,Women Study,Ph.D. in Women Study,2026-05-06 18:16:00,2026-05-06 22:18:00,4.033333333333333,18
2024-05-20,WSP20286,Women Study,Ph.D. in Women Study,2026-05-06 00:32:00,2026-05-06 03:00:00,2.466666666666667,0
2026-04-24,COI23128,Commerce,Integrated M. Com.,2026-05-06 21:43:00,2026-05-06 23:03:00,1.3333333333333333,21
2025-04-20,EGE23009,English,M. A. in English,2026-05-06 13:59:00,2026-05-06 17:42:00,3.716666666666667,13
2026-02-24,BAT21166,Business Administration,Master of Tourism & Travel Management,2026-05-06 16:06:00,2026-05-06 20:22:00,4.266666666666667,16
2025-09-16,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 22:16:00,2026-05-06 01:55:00,-20.35,22
2024-11-29,FEB22146,Food Engineering & Technology,B. Tech. in Food Engineering and Technology,2026-05-06 14:00:00,2026-05-06 20:42:00,6.7,14
2024-11-18,MBM24277,Molecular Biology & Biotechnology,M. Sc. in Molecular Biology and Biotechnology,2026-05-06 17:35:00,2026-05-06 21:45:00,4.166666666666667,17
2025-07-15,MCM24137,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,2026-05-06 12:26:00,2026-05-06 19:05:00,6.65,12
2025-03-26,SOP21090,Sociology,Ph.D. in Sociology,2026-05-06 18:53:00,2026-05-06 00:18:00,-18.583333333333332,18
2026-01-28,LLP21208,Linguistics and Language Technology,Ph.D. in Linguistics and Language Technology,2026-05-06 02:05:00,2026-05-06 03:00:00,0.9166666666666666,2
2025-11-21,BAM25080,Business Administration,Certificate in NSE Academy Certified Capital Market,2026-05-06 22:23:00,2026-05-06 01:33:00,-20.833333333333332,22
2026-05-01,CEM25007,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 23:20:00,2026-05-06 03:00:00,-20.333333333333332,23
2025-09-20,WSP21105,Women Study,Ph.D. in Women Study,2026-05-06 12:32:00,2026-05-06 18:26:00,5.9,12
2024-10-06,ASM21202,Assamese,M.A. in Assamese,2026-05-06 16:53:00,2026-05-06 22:52:00,5.983333333333333,16
2024-08-13,EDM20101,Education,M. A. in Education,2026-05-06 17:44:00,2026-05-06 00:12:00,-17.533333333333335,17
2026-02-26,FEP25116,Food Engineering & Technology,Ph.D. in Food Engineering & Technology,2026-05-06 16:54:00,2026-05-06 17:33:00,0.65,16
2025-09-05,MSM25267,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 19:57:00,2026-05-06 23:58:00,4.016666666666667,19
2025-09-01,CTP23109,Cultural Studies,Ph.D. in Cultural Studies,2026-05-06 21:46:00,2026-05-06 03:00:00,-18.766666666666666,21
2025-10-31,EDM22210,Education,M. A. in Education,2026-05-06 14:57:00,2026-05-06 18:43:00,3.7666666666666666,14
2025-11-25,MEM25276,Mechanical Engineering,M. Tech in Mechanical Engineering,2026-05-06 18:23:00,2026-05-06 00:32:00,-17.85,18
2026-01-03,EEP21016,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 01:45:00,2026-05-06 03:00:00,1.25,1
2025-09-11,CSE25114,Computer Science & Engineering,M. Tech. in Data Science,2026-05-06 13:33:00,2026-05-06 17:50:00,4.283333333333333,13
2025-08-06,EEP20135,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 22:08:00,2026-05-06 03:00:00,-19.133333333333333,22
2025-06-06,APP21285,Applied Sciences,Ph.D. in Applied Sciences,2026-05-06 00:27:00,2026-05-06 01:53:00,1.4333333333333333,0
2025-12-25,CSP22124,Computer Science & Engineering,Ph.D. in Computer Science & Engineering,2026-05-06 15:28:00,2026-05-06 18:58:00,3.5,15
2026-04-03,HIM22084,Hindi,M. A. in Hindi,2026-05-06 16:01:00,2026-05-06 20:44:00,4.716666666666667,16
2025-12-13,MSI25234,Mathematical Sciences,Integrated M. Sc. in Mathematics,2026-05-06 02:04:00,2026-05-06 03:00:00,0.9333333333333333,2
2026-02-08,FLB21260,Linguistics and Language Technology,BA in Chinese,2026-05-06 09:37:00,2026-05-06 11:54:00,2.283333333333333,9
2025-04-26,EGI21283,English,Integrated M.A. in English,2026-05-06 11:55:00,2026-05-06 16:55:00,5.0,11
2026-04-21,MSM20132,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 14:45:00,2026-05-06 16:19:00,1.5666666666666667,14
2026-01-24,ASM23199,Assamese,M.A. in Assamese,2026-05-06 09:10:00,2026-05-06 10:34:00,1.4,9
2024-12-22,PHB21256,Physics,Integrated B.Sc.B.Ed. (Physics Major),2026-05-06 02:06:00,2026-05-06 03:00:00,0.9,2
2025-10-16,MCM23223,Mass Communication & Journalism,M. A. in Mass Communication & Journalism,2026-05-06 18:13:00,2026-05-06 20:44:00,2.5166666666666666,18
2024-12-05,COM23190,Commerce,M.Com,2026-05-06 14:52:00,2026-05-06 16:08:00,1.2666666666666666,14
2025-01-12,EDB20226,Education,B. Ed.,2026-05-06 21:06:00,2026-05-06 03:00:00,-18.1,21
2025-07-16,MSM24200,Mathematical Sciences,M. Sc. in Mathematics,2026-05-06 19:57:00,2026-05-06 01:21:00,-18.6,19
2026-04-11,ECB25296,Electronics & Communication Engineering,B. Tech. in Electronics and Comm. Engineering,2026-05-06 23:46:00,2026-05-06 03:00:00,-20.766666666666666,23
2025-07-20,BAT21198,Business Administration,Master of Tourism & Travel Management,2026-05-06 10:51:00,2026-05-06 17:10:00,6.316666666666666,10
2026-04-13,SOP24118,Sociology,Ph.D. in Sociology,2026-05-06 23:16:00,2026-05-06 23:50:00,0.5666666666666667,23
2025-07-06,CEM23041,Civil Engineering,M. Tech. in Civil Engineering,2026-05-06 12:47:00,2026-05-06 18:10:00,5.383333333333334,12
2025-02-23,SOM24143,Sociology,M.A. in Sociology,2026-05-06 01:33:00,2026-05-06 03:00:00,1.45,1
2025-02-14,CTM22153,Cultural Studies,M.A. in Cultural Studies,2026-05-06 11:24:00,2026-05-06 14:21:00,2.95,11
2025-01-13,EEP20274,Electrical Engineering,Ph.D. in Electrical Engineering,2026-05-06 11:52:00,2026-05-06 18:12:00,6.333333333333333,11
2025-12-03,CTM25173,Cultural Studies,M.A. in Cultural Studies,2026-05-06 01:43:00,2026-05-06 03:00:00,1.2833333333333334,1
2026-03-26,SOM24060,Sociology,M.A. in Sociology,2026-05-06 13:28:00,2026-05-06 16:57:00,3.4833333333333334,13
2026-04-20,MSB25063,Mathematical Sciences,Integrated B.Sc.B.Ed. (Mathematics Major),2026-05-06 11:55:00,2026-05-06 14:56:00,3.0166666666666666,11
2024-11-03,FET24278,Food Engineering & Technology,M. Tech. in Food Engineering & Technology,2026-05-06 01:40:00,2026-05-06 03:00:00,1.3333333333333333,1
2025-02-28,DEM21017,Design,Master of Design,2026-05-06 11:08:00,2026-05-06 18:23:00,7.25,11
